[00:00:02,543] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,547] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,547] WARN  {Croupier} Trying to add myself to self: 3752
[00:00:02,547] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,562] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,565] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,574] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,574] WARN  {ParentMaker} PM(7546) No better RTTS availabile 
[00:00:02,598] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,601] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,603] WARN  {Croupier} Trying to add myself to self: 7738
[00:00:02,603] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,619] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,622] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,623] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,640] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,640] WARN  {ParentMaker} PM(9281) No better RTTS availabile 
[00:00:02,651] WARN  {Croupier} Trying to add myself to self: 3133
[00:00:02,651] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,653] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,665] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,674] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
